iter	RMSE
434	0.7280566094
435	0.7267548958
436	0.7240130882
437	0.7206513038
438	0.7178454409
439	0.715706689
440	0.7123470907
441	0.7090622482
442	0.7045937914
443	0.7022985832
444	0.7003798658
445	0.699013113
446	0.6959215588
447	0.6931500959
448	0.6907777356
449	0.6887111529
450	0.6858947922
451	0.684075025
452	0.6815491645
453	0.6801463944
454	0.6774020467
455	0.6754690921
456	0.6735760377
457	0.6716971737
458	0.6687779203
459	0.6658217894
460	0.6642139302
461	0.6623476384
462	0.6612641815
463	0.6594924547
464	0.6579511979
465	0.6546381857
466	0.6518892544
467	0.6491821864
468	0.6477498207
469	0.6446504412
470	0.6422440205
471	0.6402427781
472	0.6384242941
473	0.6368144008
474	0.6346438765
475	0.6330885006
476	0.6312498578
477	0.6284487348
478	0.6267213572
479	0.6256391405
480	0.6228395054
481	0.6206772439
482	0.6195878938
483	0.6178459212
484	0.6157194206
485	0.6134823503
486	0.6117988518
487	0.6109936823
488	0.6101237688
489	0.6078049249
490	0.6057117588
491	0.604270201
492	0.6032017323
493	0.5999881167
494	0.5984136812
495	0.5960978193
496	0.5944153222
497	0.5919260393
498	0.5908701694
499	0.590107001
500	0.5886685184
501	0.5875029699
502	0.5856858833
503	0.5839001968
504	0.5832981829
505	0.5822746452
506	0.5812896452
507	0.5791742346
508	0.5780089031
509	0.5765229274
510	0.575663778
511	0.5750408634
512	0.5734688655
513	0.5728102603
514	0.5717519982
515	0.5704449231
516	0.569363106
517	0.5683012475
518	0.5669656734
519	0.5661877615
520	0.5655799657
521	0.5650176835
522	0.5637685615
523	0.5618238632
524	0.5598933718
525	0.5580489644
526	0.556245824
527	0.5543063843
528	0.5528052144
529	0.5522952519
530	0.5506905667
531	0.5490492384
532	0.5475433231
533	0.5470663453
534	0.5460085472
535	0.5450413169
536	0.543971876
537	0.5420613967
538	0.540419843
539	0.5397945862
540	0.5383586691
541	0.5372722483
542	0.5361357866
543	0.5349806125
544	0.5343104791
545	0.5332470371
546	0.5314362169
547	0.5306594299
548	0.5301821917
549	0.5293830783
550	0.5278723048
551	0.5261362697
552	0.5244861482
553	0.523622537
554	0.5221168351
555	0.521667374
556	0.5208429574
557	0.5200562372
558	0.5194700351
559	0.517991374
560	0.5170450468
561	0.5163311659
562	0.5155232887
563	0.5141877013
564	0.5123448212
565	0.5117027345
566	0.5102420339
567	0.5092513442
568	0.5079101781
569	0.5067162657
570	0.5061744293
571	0.5057553548
572	0.5051010964
573	0.5042666872
574	0.5036091258
575	0.502285976
576	0.5014111006
577	0.5008420969
578	0.5003112002
579	0.498765299
580	0.4974319863
581	0.4969524438
582	0.4959191692
583	0.4953525873
584	0.4941465732
585	0.4931940697
586	0.492479275
587	0.4921447803
588	0.4917384826
589	0.4908864196
590	0.4899855827
591	0.488998929
592	0.487945401
593	0.4871025805
594	0.4859006324
595	0.4846836736
596	0.483826846
597	0.483126584
598	0.4820345719
599	0.4812733202
