iter	RMSE
0	22.00041781
1	21.52813203
2	21.25339363
3	20.6294191
4	20.18853723
5	19.94647916
6	19.45568544
7	19.14725379
8	18.91788907
9	18.57727708
10	18.29794765
11	18.07399566
12	17.84245294
13	17.55462729
14	17.37618305
15	17.14930898
16	16.85488807
17	16.70611679
18	16.54332748
19	16.30920304
20	15.92205988
21	15.73381334
22	15.55509199
23	15.36611387
24	15.12267033
25	14.91164466
26	14.77412238
27	14.60439142
28	14.42150815
29	14.16509792
30	13.98601699
31	13.85164446
32	13.66076309
33	13.49197364
34	13.30588958
35	13.18753935
36	12.98144508
37	12.86749306
38	12.63111965
39	12.46652955
40	12.36068721
41	12.24394972
42	12.1130563
43	11.93628634
44	11.76648244
45	11.68673575
46	11.5009793
47	11.2068424
48	11.12296935
49	10.99031887
50	10.83352561
51	10.7245476
52	10.60706019
53	10.54242707
54	10.34531407
55	10.20649118
56	10.07896171
57	9.978859249
58	9.877060411
59	9.829593306
60	9.616362677
61	9.520031806
62	9.457252238
63	9.409900439
64	9.349021757
65	9.222665772
66	9.128308006
67	9.060237248
68	8.992084845
69	8.796514343
70	8.725223646
71	8.634132671
72	8.564863883
73	8.482610207
74	8.415403014
75	8.275576476
76	8.190607396
77	8.1306336
78	7.949790934
79	7.856772667
80	7.755460881
81	7.709834102
82	7.652959057
83	7.476321508
84	7.399832482
85	7.317975067
86	7.155850813
87	7.092127813
88	7.045016595
89	6.999962469
90	6.970579414
91	6.892013729
92	6.806836589
93	6.748984804
94	6.683877375
95	6.594674243
96	6.549385817
97	6.500062717
98	6.423078061
99	6.371044252
100	6.309466624
101	6.264937955
102	6.169186518
103	6.081763943
104	6.033896034
105	5.936679936
106	5.811530925
107	5.774776723
108	5.677830937
109	5.628383726
110	5.558522227
111	5.530703679
112	5.483697801
113	5.442538423
114	5.397887498
115	5.354446376
116	5.271858577
117	5.18855721
118	5.155380631
119	5.090103457
120	5.037730553
121	4.968013042
122	4.930954094
123	4.84881981
124	4.800162293
125	4.727630044
126	4.646738725
127	4.602869922
128	4.559272683
129	4.473504421
130	4.43769179
131	4.409637678
132	4.33093089
133	4.261760033
134	4.204816309
135	4.169261405
136	4.135689809
137	4.093633017
138	4.029696429
139	4.012186239
140	3.989623995
141	3.955799645
142	3.932317079
143	3.88405257
144	3.841293308
145	3.817766589
146	3.765665812
147	3.742087377
148	3.71379801
149	3.684495266
150	3.658776581
151	3.637266608
152	3.589679852
153	3.560819426
154	3.531850239
155	3.487956806
156	3.461010159
157	3.432308384
158	3.418248472
159	3.39409665
160	3.3680065
161	3.325179025
162	3.290931096
163	3.251628096
164	3.232099573
165	3.211457675
166	3.169717972
167	3.14405458
168	3.11511065
169	3.096351571
170	3.075372764
171	3.059263515
172	3.055269226
173	3.032888385
174	3.005561694
175	2.982955402
176	2.966403627
177	2.949000714
178	2.914085653
179	2.89790263
180	2.876629946
181	2.862603673
182	2.843990756
183	2.828864491
184	2.817738006
185	2.795472897
186	2.783575058
187	2.762828761
188	2.742519103
189	2.72111355
190	2.703323644
191	2.692222331
192	2.673976039
193	2.657248631
194	2.6508344
195	2.634129019
196	2.609810666
197	2.587665405
198	2.570691707
199	2.551220884
200	2.542379675
201	2.523946188
202	2.509788042
203	2.496790951
204	2.480301092
205	2.463932861
206	2.445060431
207	2.429970909
208	2.413777895
209	2.401874433
210	2.393212273
211	2.373974188
212	2.344869109
213	2.333936701
214	2.317040816
215	2.304635426
216	2.287793762
217	2.270420277
218	2.25555473
219	2.23894403
220	2.225688977
221	2.207457868
222	2.18670515
223	2.173536176
224	2.167590705
225	2.152938573
226	2.131047845
227	2.114670609
228	2.095554715
229	2.080924881
230	2.070705537
231	2.055371859
232	2.048111919
233	2.032357575
234	2.025163637
235	2.00766595
236	1.986953302
237	1.977644081
238	1.966526642
239	1.948607249
240	1.928016165
241	1.917668465
242	1.903920572
243	1.891298461
244	1.882039669
245	1.869287373
246	1.855558354
247	1.843944691
248	1.830731671
249	1.815713272
250	1.802241727
251	1.791600013
252	1.77967691
253	1.767373729
254	1.755657298
255	1.740469177
256	1.734018311
257	1.721141662
258	1.706255703
259	1.697951559
260	1.687600031
261	1.675441589
262	1.665449889
263	1.650681208
264	1.639435011
265	1.631232947
266	1.615982877
267	1.607929634
268	1.595546536
269	1.594682829
270	1.585479061
271	1.570601321
272	1.559418661
273	1.548904776
274	1.541024049
275	1.531754583
276	1.518696689
277	1.510829579
278	1.499051137
279	1.487719796
280	1.478338496
281	1.46887814
282	1.46249518
283	1.454341876
284	1.448049415
285	1.438657415
286	1.429380689
287	1.421110336
288	1.413168118
289	1.405470326
290	1.396544857
291	1.387401973
292	1.378917094
293	1.367038049
294	1.357180933
295	1.34991803
296	1.341363399
297	1.33291715
298	1.3235488
299	1.31554358
300	1.309510465
301	1.299109818
302	1.297089101
303	1.292111841
304	1.288386433
305	1.280871233
306	1.27531039
307	1.269021834
308	1.26403056
309	1.253454374
310	1.246289965
311	1.2365024
312	1.228686675
313	1.222853152
314	1.217706137
315	1.215385045
316	1.210760562
317	1.20526127
318	1.202471299
319	1.197095402
320	1.190441353
321	1.180831657
322	1.173616872
323	1.1712074
324	1.166613374
325	1.16175882
326	1.152689197
327	1.147081817
328	1.140121242
329	1.13786359
330	1.132592944
331	1.125946569
332	1.121734578
333	1.120012571
334	1.113849253
335	1.1106099
336	1.106846901
337	1.103281356
338	1.096168281
339	1.089855248
340	1.081713851
341	1.074253534
342	1.07034404
343	1.064519004
344	1.061198155
345	1.056241944
346	1.050706926
347	1.045177255
348	1.039995489
349	1.032299393
350	1.027147432
351	1.020713949
352	1.016723783
353	1.011281101
354	1.005695025
355	1.002448379
356	0.9999008467
357	0.9950757881
358	0.9912988047
359	0.9846619521
360	0.9782559209
361	0.9742914145
362	0.9660252963
363	0.9622804391
364	0.9607058533
365	0.9560501518
366	0.9537585656
367	0.9476362061
368	0.9407206818
369	0.9382446514
370	0.9312281891
371	0.9276218791
372	0.9239346747
373	0.921054185
374	0.9166847732
375	0.9142200772
376	0.912417449
377	0.9095568317
378	0.9054497778
379	0.9010943074
380	0.8969832426
381	0.8907775095
382	0.8884107014
383	0.8834440204
384	0.8808925818
385	0.8781701622
386	0.876213274
387	0.8728868955
388	0.8694767259
389	0.8652362419
390	0.8592980431
391	0.8548172888
392	0.8526714544
393	0.8476043383
394	0.8453630325
395	0.8431772565
396	0.8388842163
397	0.8347695639
398	0.8309447247
399	0.8270458493
400	0.8231849814
401	0.8185766865
402	0.8160310948
403	0.8118099419
404	0.8088705903
405	0.8071143669
406	0.8047640473
407	0.8042639972
408	0.801794806
409	0.7989494742
410	0.7958324483
411	0.7923910664
412	0.7888079615
413	0.7849917308
414	0.7814503467
415	0.7773661081
416	0.7739435502
417	0.7703625016
418	0.7682048224
419	0.7665743654
420	0.7635865879
421	0.7603723768
422	0.7572480391
423	0.7569987199
424	0.7534404759
425	0.751357448
426	0.7474429773
427	0.7451894648
428	0.7425013699
429	0.7402210119
430	0.7369348089
431	0.7357418603
432	0.7329425415
433	0.7314323432
