feature,mean_abs_shap
filler_wt,8.745899292359677
filler_vol,6.809925476882985
has_glass,5.688590089719747
has_nanofiller,4.529978661599415
has_silica,2.526724498004595
has_zirconia,1.285377381865896
has_cluster,1.2374144974240437
has_fiber,1.0732272213520944
has_quartz,0.7211233784125971
